Model,Type,BiDir,Embeds,Best Val Acc,Best Val Loss,Time (s),Parameters,Layers,Train Loss,Train Acc,Val Loss,Val Acc
1_RNN_Random,RNN,False,Random,0.3702,1.521,12.1,5628133,1,1.0052,0.5972,1.7758,0.3393
2_RNN_Pretrained,RNN,False,Pretrained,0.3964,1.3512,11.6,5628133,1,0.3197,0.8853,2.6013,0.3522
3_LSTM_Random,LSTM,False,Random,0.3685,1.4599,12.03,6056677,1,0.6569,0.747,2.5398,0.3685
4_LSTM_Pretrained,LSTM,False,Pretrained,0.4517,1.2651,11.91,6056677,1,0.1936,0.9318,2.8062,0.3894
5_GRU_Random,GRU,False,Random,0.3816,1.4558,11.71,5913829,1,0.6591,0.7477,2.0707,0.3677
6_GRU_Pretrained,GRU,False,Pretrained,0.4595,1.2528,11.67,5913829,1,0.1611,0.9443,2.5706,0.404
7_BiLSTM_Deep_Random,LSTM,True,Random,0.3893,1.4436,24.95,8206309,2,0.4402,0.8383,2.7848,0.3642
8_BiLSTM_Deep_Pretrained,LSTM,True,Pretrained,0.4595,1.2859,24.88,8206309,2,0.162,0.9439,2.7713,0.43
9_BiGRU_Deep_Random,GRU,True,Random,0.3885,1.4886,24.34,7526373,2,0.4906,0.816,2.5791,0.3737
10_BiGRU_Deep_Pretrained,GRU,True,Pretrained,0.4673,1.2489,24.11,7526373,2,0.1287,0.9511,3.0295,0.4015
